osm_id,osm_type,name,amenity,healthcare,healthcare_speciality,operator,operator_type,latitude,longitude,street,city,district,postcode,phone,email,website,opening_hours,beds,emergency,wheelchair,queried_district
3155739558,node,"Agastya Ayurveda, 98/1, Soora Complex",hospital,,,,,15.1450669,76.9295174,,,,,,,,,,,,Ballari
6179056375,node,Kampli A health subcentre,clinic,,,,,15.4068677,76.6038476,,,,,,,,,,,,Ballari
6179056377,node,Bukkasagara Health Subcentre,clinic,,,,,15.3750638,76.5718047,,,,,,,,,,,,Ballari
6179056378,node,Sanapura Health Subcentre,clinic,,,,,15.4397,76.6479,,,,,,,,,,,,Ballari
6939482077,node,Dwaraka Hospital,hospital,,,,,15.1544469,76.9411343,,,Ballari,583103,,,,,,,,Ballari
6944138106,node,M S R Hospital,hospital,,,,,15.1506984,76.9367346,,,Ballari,583101,,,,,,,,Ballari
6944214874,node,Jindal Sanjeevani Hospital,hospital,,,,,15.196487,76.6589016,,,Ballari,583101,,,,,,,,Ballari
6944256054,node,Cs Multispeciality Hospital,hospital,,,,,15.1523991,76.934693,,,Ballari,583102,,,,,,,,Ballari
6944277959,node,Sanjeevini Hospital,hospital,,,,,15.154157,76.9308762,,,Ballari,583101,,,,,,,,Ballari
6944389773,node,Balaji Maternity Home,hospital,,,,,15.6337074,76.8951686,,,Ballari,583121,,,,,,,,Ballari
6944400799,node,Bellary Nursing Home,clinic,,,,,15.1439938,76.9291596,,,Ballari,583101,,,,,,,,Ballari
6944417958,node,Venkat Kamineni Hospital,hospital,,,,,15.1443071,76.9067947,,,Ballari,583104,,,,,,,,Ballari
6944525578,node,St Mary's Hospital,hospital,,,,,15.1541816,76.900873,,,Ballari,583104,,,,,,,,Ballari
6944587004,node,Aparna Hospital,hospital,,,,,15.155344,76.9002199,,,Ballari,583101,,,,,,,,Ballari
6944908376,node,Shakti Nursing Home,clinic,,,,,15.1543964,76.9280572,,,Ballari,583102,,,,,,,,Ballari
6945078263,node,Dr. S. K. Panduranga Rao Hospital,hospital,,,,,15.1489687,76.935904,,,Ballari,583101,,,,,,,,Ballari
6945764972,node,"Sri Balaji Nursing Home, Ballari",clinic,,,,,15.1552599,76.9282839,,,Ballari,583103,,,,,,,,Ballari
6945766365,node,Sree Thirumala Hospital,hospital,,,,,15.1587885,76.9378164,,,Ballari,583103,,,,,,,,Ballari
6945806143,node,Sri Danamma Super Speciality Hospital,hospital,,,,,15.1454813,76.9292977,,,Ballari,583101,,,,,,,,Ballari
6947247964,node,"R K Hospital, Ballari",hospital,,,,,15.1486852,76.9352415,,,Ballari,583101,,,,,,,,Ballari
6947682076,node,Adarsh Heart Care Centre Pvt Ltd,hospital,,,,,15.1464612,76.9288243,,,Ballari,583101,,,,,,,,Ballari
6947707804,node,Vijay Nagaraj Super Speciality Eye Hospital,hospital,,,,,15.154256,76.8999376,,,Ballari,583104,,,,,,,,Ballari
6947765553,node,L V Nursing Home,clinic,,,,,15.1531343,76.92797,,,Ballari,583101,,,,,,,,Ballari
7205339671,node,"Government Hospital, Chornur",hospital,,,,,14.9254354,76.5286196,,,Bellary,583128,,,,,,,,Ballari
7205430732,node,Kampli Government Hospital,hospital,,,,,15.4064959,76.6036531,,,Bellary,583132,08394-250699 / 08142431381,,,,,,,Ballari
7205430740,node,PHC Chellagurki,,centre,,,,15.1234324,77.1313534,,,Bellary,583111,,,,,,,,Ballari
7205430748,node,"Government Hospital, Kurugodu",hospital,,,,,15.3450797,76.8333559,,,Bellary,583116,,,,,,,,Ballari
7205430755,node,Siddamanahalli PHC,,centre,,,,15.268914,76.78441,,,Bellary,583115,,,,,,,,Ballari
7205430772,node,"PHC, Bandri",,centre,,,,14.9907367,76.450547,,,Bellary,583124,,,,,,,,Ballari
7205430773,node,Moka Government Hospital,hospital,,,,,15.2359708,77.0515274,,,Bellary,583117,,,,,,,,Ballari
7205430778,node,Sidiginmola PHC,,centre,,,,15.173362,77.07347,,,Bellary,583111,,,,,,,,Ballari
7205430780,node,Ramasagar Government Hospital,hospital,,,,,15.374023,76.572042,,,Bellary,583129,08394-250699,,,,,,,Ballari
7205430789,node,S.R.R.Pura Government Hospital,hospital,,,,,15.3031209,76.714412,,,Bellary,583115,08394-242044,,,,,,,Ballari
7205430792,node,Kuduthini PHC,,centre,,,,15.198551,76.7594283,,,Bellary,583115,,,,,,,,Ballari
7205430797,node,Urban Primary Health Centre Ballari,,centre,,,,15.137783,76.932683,,,Bellary,583101,,,,,,,,Ballari
7205430806,node,Mokagonala PHC,,centre,,,,15.2695049,77.126248,,,Bellary,583117,,,,,,,,Ballari
7205430810,node,Korlagundi PHC,,centre,,,,15.277433,76.9698431,,,Bellary,,,,,,,,,Ballari
7205430811,node,Government Hospital Takkelakote,hospital,,,,,15.5372388,76.8821612,,,Bellary,583122,,,,,,,,Ballari
7205430815,node,Government Hospital Thoranagallu,hospital,,,,,15.1972303,76.676132,,,Bellary,583123,,,,,,,,Ballari
7205430833,node,Rupanagudi CHC,,centre,,,,15.0503112,77.0629303,,,Bellary,583115,,,,,,,,Ballari
7205430840,node,PHC Karur,,centre,,,,15.4344638,76.9509785,,,Bellary,583120,08396-255666,,,,,,,Ballari
7205430846,node,Sirigeri PHC,,centre,,,,15.440353,76.838034,,,Bellary,583120,08396-244434,,,,,,,Ballari
7205430849,node,Ufwc Hospital,hospital,,,,,15.1410453,76.9016016,,,Bellary,583104,,,,,,,,Ballari
7205430854,node,"Vijaynagar Institute Of Medical Science Hospital, Ballari",hospital,,,,,15.155818,76.898437,,,Bellary,583104,,,,,,,,Ballari
7205448393,node,Government Hospital Hatcholli,hospital,,,,,15.791586,76.998673,,,Bellary,583114,08396-241660,,,,,,,Ballari
7205448427,node,Ravihal Government Hospital,hospital,,,,,15.704203,77.05364,,,Bellary,583114,,,,,,,,Ballari
7205448444,node,Siruguppa Taluk Hospital,hospital,,,,,15.636892,76.894829,,,Bellary,583121,08396-220222,,,,,,,Ballari
7569754225,node,Asha Hospital,hospital,,,,,15.154727,76.899461,,,Bellari,583276,,,,,,,,Ballari
7569754229,node,"PHC, Ballari",,centre,,,,15.138188,76.907105,,,Bellari,583102,,,,,,,,Ballari
7569754230,node,Janani Hospital and Fetal Medical Centre,hospital,,,,,15.1533524,76.9309177,,,Bellari,583103,,,,,,,,Ballari
7569754231,node,A R Gastro and Liver Centre,hospital,,,,,15.154511,76.928625,,,Bellari,583103,,,,,,,,Ballari
7569754233,node,Srinivasa Child Care Centre,clinic,,,,,15.1461941,76.9290191,,,Bellari,583101,,,,,,,,Ballari
7569754235,node,R V G Health Care,clinic,,,,,15.1589914,76.8974469,,,Bellari,583275,,,,,,,,Ballari
7569754240,node,Sandhya Polyclinic,clinic,,,,,15.1524354,76.9244332,,,Bellari,583103,,,,,,,,Ballari
7569754241,node,Mata Super Speciality Dental Hospital,hospital,,,,,15.1449588,76.9051998,,,Bellari,583104,,,,,,,,Ballari
7569754242,node,Amogh Nursing Home,clinic,,,,,15.1540142,76.9267854,,,Bellari,583103,,,,,,,,Ballari
7569754244,node,Srihari Child Care Centre,clinic,,,,,15.152796,76.929703,,,Bellari,583103,,,,,,,,Ballari
7569754246,node,Lakshya Multi Speciality Dental,dentist,,,,,15.1514521,76.9228065,,,Bellari,583103,,,,,,,,Ballari
7569754247,node,Arunodaya Hospital,hospital,,,,,15.1598506,76.9156602,,,Bellari,583103,,,,,,,,Ballari
7569754249,node,Srinivas Clinic,clinic,,,,,15.139209,76.9258406,,,Bellari,583101,,,,,,,,Ballari
7569754250,node,Pristine Hearing Clinic,clinic,,,,,15.140189,76.931238,,,Bellari,583101,,,,,,,,Ballari
7569754252,node,Sri Sai Dental Specialities,dentist,,,,,15.1525726,76.9023434,,,Bellari,583276,,,,,,,,Ballari
7569754253,node,SM Nursing Home,clinic,,,,,15.1580688,76.9186108,,,Bellari,583103,,,,,,,,Ballari
7569754254,node,Mithil Clinic,clinic,,,,,15.159221,76.897154,,,Bellari,583276,,,,,,,,Ballari
7569754258,node,K S M Hospital,hospital,,,,,15.153661,76.927232,,,Bellari,583103,,,,,,,,Ballari
7569754259,node,Sai Health Care,clinic,,,,,15.138151,76.8973,,,Bellari,583102,,,,,,,,Ballari
7569754260,node,Sri Venkateswara Nursing Home,clinic,,,,,15.152907,76.934366,,,Bellari,583103,,,,,,,,Ballari
7569754262,node,Sri Daruka Clinic,clinic,,,,,15.1537248,76.9356396,,,Bellari,583103,,,,,,,,Ballari
7569754263,node,Navodaya Hospital,hospital,,,,,15.1397969,76.9177188,,,Bellari,583104,,,,,,,,Ballari
7569754264,node,Desai Clinic,clinic,,,,,15.157484,76.943797,,,Bellari,583103,,,,,,,,Ballari
7569754266,node,Gastro Clinic and Surgical Centre,clinic,,,,,15.1581958,76.899763,,,Bellari,583276,,,,,,,,Ballari
7569754268,node,Srinivasa Nursing Home,clinic,,,,,15.152258,76.926456,,,Bellari,583103,,,,,,,,Ballari
7569754269,node,Bharath Health Centre,clinic,,,,,15.156732,76.9328804,,,Bellari,583103,,,,,,,,Ballari
7569754271,node,Sai City Hospital,hospital,,,,,15.152424,76.934889,,,Bellari,583101,,,,,,,,Ballari
7569754272,node,Anuradha Heart Care Center,clinic,,,,,15.1544077,76.8993898,,,Bellari,583104,,,,,,,,Ballari
7569754274,node,Urban Health Centre,clinic,,,,,15.1337895,76.9246465,,,Bellari,583101,,,,,,,,Ballari
